"Path","LOC","LastModified","Purpose","Dependencies","UsedByCount","UsedBySamples"
".env.example","31","2026-03-09T06:24:37Z","Environment variable template","","0",""
".github/ISSUE_TEMPLATE/bug_report.md","36","2026-02-25T05:58:50Z","Project artifact / documentation / script","","0",""
".github/ISSUE_TEMPLATE/feature_request.md","17","2026-02-25T05:58:56Z","Project artifact / documentation / script","","0",""
".github/PULL_REQUEST_TEMPLATE.md","27","2026-02-25T05:58:58Z","Project artifact / documentation / script","","0",""
".gitignore","49","2026-03-09T07:22:18Z","Project artifact / documentation / script","","0",""
"alembic.ini","72","2026-02-12T14:26:47Z","Project artifact / documentation / script","","0",""
"API_DOCUMENTATION.md","302","2026-03-09T06:32:07Z","Endpoint documentation","","0",""
"app/__init__.py","0","2026-02-12T14:02:15Z","Project artifact / documentation / script","","0",""
"app/api/__init__.py","0","2026-02-12T14:04:13Z","Project artifact / documentation / script","","0",""
"app/api/v1/__init__.py","0","2026-02-12T14:04:16Z","Project artifact / documentation / script","","0",""
"app/api/v1/api.py","14","2026-02-24T10:03:07Z","Project artifact / documentation / script","from fastapi import APIRouter; from app.api.v1.endpoints import auth, employees, reports, settings","0",""
"app/api/v1/deps.py","105","2026-03-09T06:32:30Z","Project artifact / documentation / script","from __future__ import annotations; from collections.abc import AsyncGenerator; from typing import Optional; from urllib.parse import urlparse; from fastapi import Cookie, Depends, HTTPException, Request, status; from fastapi.security import OAuth2PasswordBearer; from sqlalchemy import select; from sqlalchemy.ext.asyncio import AsyncSession; from app.core.security import decode_access_token; from app.db.session import async_session_factory; from app.models.user import User","0",""
"app/api/v1/endpoints/__init__.py","0","2026-02-12T14:04:24Z","Project artifact / documentation / script","","0",""
"app/api/v1/endpoints/auth.py","160","2026-03-09T06:17:45Z","Authentication and user management endpoints","from __future__ import annotations; from fastapi import APIRouter, Cookie, Depends, HTTPException, Request, Response, status; from fastapi.security import OAuth2PasswordRequestForm; from slowapi import Limiter; from slowapi.util import get_remote_address; from sqlalchemy import select; from sqlalchemy.ext.asyncio import AsyncSession; from app.api.v1.deps import get_current_active_user, get_db, require_admin; from app.core.config import settings; from app.core.security import (; from app.models.user import User; from app.schemas.attendance import LogoutResponse; from app.schemas.token import RefreshRequest, Token; from app.schemas.user import UserCreate, UserRead","0",""
"app/api/v1/endpoints/employees.py","304","2026-03-09T06:44:53Z","RFID scan, breaks, and employee CRUD endpoints","from __future__ import annotations; import logging; from datetime import datetime; from fastapi import APIRouter, Depends, HTTPException, Query; from sqlalchemy import select; from sqlalchemy.exc import IntegrityError; from sqlalchemy.ext.asyncio import AsyncSession; from app.api.v1.deps import get_current_active_user, get_db, require_admin; from app.core.config import settings; from app.core.timeutils import business_date_str, ensure_utc, is_late_arrival, utc_now; from app.models.attendance_settings import AttendanceSettings; from app.models.employee import Attendance, Employee; from app.models.user import User; from app.schemas.attendance import (","0",""
"app/api/v1/endpoints/reports.py","934","2026-03-09T06:44:45Z","Reporting/analytics/export and absence endpoints","from __future__ import annotations; import calendar; import csv; import io; import json; import logging; from collections import defaultdict; from datetime import date, datetime, timedelta; import re; from fastapi import APIRouter, Depends, HTTPException, Query; from fastapi.responses import StreamingResponse; from sqlalchemy import delete as sa_delete; from sqlalchemy import func, select; from sqlalchemy.ext.asyncio import AsyncSession; from app.api.v1.deps import get_current_active_user, get_db, require_admin; from app.core.config import settings; from app.core.timeutils import (; from app.models.absence_override import AbsenceOverride; from app.models.attendance_settings import AttendanceSettings; from app.models.employee import Attendance, Employee; from app.models.user import User; from app.schemas.attendance import (; import redis.asyncio as aioredis; import redis.asyncio as aioredis","0",""
"app/api/v1/endpoints/settings.py","69","2026-03-09T06:18:02Z","Attendance settings endpoints","from __future__ import annotations; import logging; from datetime import datetime; from fastapi import APIRouter, Depends, HTTPException; from sqlalchemy import select; from sqlalchemy.ext.asyncio import AsyncSession; from app.api.v1.deps import get_db, require_admin; from app.models.attendance_settings import AttendanceSettings; from app.models.user import User; from app.schemas.attendance import AttendanceSettingsRead, AttendanceSettingsUpdate","0",""
"app/core/__init__.py","0","2026-02-12T14:02:25Z","Project artifact / documentation / script","","0",""
"app/core/config.py","87","2026-03-09T06:19:26Z","Environment and runtime configuration","from __future__ import annotations; import json; import logging; from pydantic import field_validator, model_validator; from pydantic_settings import BaseSettings","0",""
"app/core/exceptions.py","38","2026-02-25T05:26:14Z","Project artifact / documentation / script","from __future__ import annotations; import logging; from fastapi import FastAPI, HTTPException, Request; from fastapi.responses import JSONResponse; from sqlalchemy.exc import IntegrityError, SQLAlchemyError","0",""
"app/core/security.py","55","2026-02-25T05:26:14Z","JWT and password hashing utilities","from __future__ import annotations; from datetime import datetime, timedelta, timezone; from typing import Any; from jose import JWTError, jwt; from passlib.context import CryptContext; from app.core.config import settings","0",""
"app/core/timeutils.py","49","2026-03-09T06:19:04Z","Timezone-aware date/time helpers","from __future__ import annotations; import re; from datetime import date, datetime, timedelta, timezone","0",""
"app/db/__init__.py","0","2026-02-12T14:02:57Z","Database base/session wiring","","0",""
"app/db/base.py","4","2026-02-25T05:34:10Z","Database base/session wiring","from sqlalchemy.orm import DeclarativeBase","0",""
"app/db/session.py","35","2026-02-25T05:26:14Z","Database base/session wiring","from __future__ import annotations; from collections.abc import AsyncGenerator; from sqlalchemy.ext.asyncio import AsyncSession, async_sessionmaker, create_async_engine; from app.core.config import settings","0",""
"app/main.py","114","2026-03-09T06:17:09Z","FastAPI app factory and startup lifecycle","from __future__ import annotations; import logging; from contextlib import asynccontextmanager; from pathlib import Path; from fastapi import FastAPI; from fastapi.middleware.cors import CORSMiddleware; from fastapi.staticfiles import StaticFiles; from slowapi import _rate_limit_exceeded_handler; from slowapi.errors import RateLimitExceeded; from sqlalchemy import select; from sqlalchemy.exc import SQLAlchemyError; from app.api.v1.api import api_router; from app.core.config import settings; from app.core.exceptions import register_exception_handlers; from app.core.security import get_password_hash; from app.db.session import async_session_factory, engine; from app.models.absence_override import AbsenceOverride  # noqa: F401; from app.models.attendance_settings import AttendanceSettings  # noqa: F401; from app.models.employee import Attendance, Employee  # noqa: F401; from app.models.user import User; from app.db.base import Base; from app.api.v1.endpoints.auth import limiter","0",""
"app/models/__init__.py","0","2026-02-12T14:03:08Z","ORM models","","0",""
"app/models/absence_override.py","40","2026-03-09T06:18:28Z","ORM models","from __future__ import annotations; from datetime import datetime, timezone; from sqlalchemy import (; from app.db.base import Base","0",""
"app/models/attendance_settings.py","24","2026-02-24T12:21:45Z","ORM models","from __future__ import annotations; from datetime import datetime, timezone; from sqlalchemy import Column, DateTime, Integer, String; from app.db.base import Base","0",""
"app/models/employee.py","58","2026-03-09T06:18:15Z","ORM models","from __future__ import annotations; from datetime import datetime, timezone; from sqlalchemy import (; from sqlalchemy.orm import relationship; from app.db.base import Base","0",""
"app/models/user.py","24","2026-02-12T14:03:16Z","ORM models","from __future__ import annotations; from datetime import datetime, timezone; from sqlalchemy import Boolean, Column, DateTime, Integer, String; from app.db.base import Base","0",""
"app/schemas/__init__.py","0","2026-02-12T14:03:41Z","Pydantic request/response schemas","","0",""
"app/schemas/attendance.py","303","2026-03-09T06:16:10Z","Pydantic request/response schemas","from __future__ import annotations; import re; from datetime import datetime; from pydantic import BaseModel, Field, field_validator","0",""
"app/schemas/token.py","12","2026-02-12T14:03:46Z","Pydantic request/response schemas","from __future__ import annotations; from pydantic import BaseModel","0",""
"app/schemas/user.py","61","2026-03-09T06:16:32Z","Pydantic request/response schemas","from __future__ import annotations; from datetime import datetime; from pydantic import BaseModel, field_validator","0",""
"ARCHITECTURE.md","213","2026-02-25T06:04:42Z","Project artifact / documentation / script","","0",""
"CHANGELOG.md","66","2026-02-25T06:03:11Z","Project artifact / documentation / script","","0",""
"CODE_OF_CONDUCT.md","40","2026-03-09T05:52:45Z","Project artifact / documentation / script","","0",""
"CONFIGURATION.md","123","2026-03-09T06:31:17Z","Configuration reference","","0",""
"CONTRIBUTING.md","189","2026-03-09T05:52:45Z","Project artifact / documentation / script","","0",""
"DEPLOYMENT_GUIDE.md","573","2026-03-09T06:31:45Z","Deployment instructions","","0",""
"docker-compose.yml","61","2026-03-09T06:58:37Z","Local/CI container orchestration","","0",""
"Dockerfile","","2026-03-09T07:00:45Z","Backend container build definition","","6","DEPLOYMENT_GUIDE.md; README.md; USER_GUIDE.md; docs/audit/executive-summary.md; docs/audit/full-audit-report.md"
"docs/audit/artifacts/complexity-analysis.csv","","2026-03-09T07:26:27Z","Project artifact / documentation / script","","0",""
"docs/audit/artifacts/duplication-analysis.csv","","2026-03-09T06:55:34Z","Project artifact / documentation / script","","0",""
"docs/audit/artifacts/file-inventory.csv","","2026-03-09T07:26:26Z","Project artifact / documentation / script","","0",""
"docs/audit/artifacts/file-manifest.csv","","2026-03-09T07:26:20Z","Project artifact / documentation / script","","0",""
"docs/audit/artifacts/metrics.json","15","2026-03-09T07:26:20Z","Project artifact / documentation / script","","0",""
"docs/audit/executive-summary.md","82","2026-03-09T07:25:20Z","Project artifact / documentation / script","","0",""
"docs/audit/full-audit-report.md","295","2026-03-09T07:25:20Z","Project artifact / documentation / script","","0",""
"docs/audit/metrics-dashboard.md","93","2026-03-09T07:25:20Z","Project artifact / documentation / script","","0",""
"docs/audit/README.md","19","2026-03-09T07:25:20Z","Project artifact / documentation / script","","0",""
"docs/audit/remediation-log.md","217","2026-03-09T07:25:20Z","Project artifact / documentation / script","","0",""
"docs/audit/technical-debt-register.md","97","2026-03-09T07:25:20Z","Project artifact / documentation / script","","0",""
"docs/audit/validation-test-plan.md","113","2026-03-09T07:25:20Z","Project artifact / documentation / script","","0",""
"docs/diagrams/README.md","17","2026-02-25T06:08:24Z","Project artifact / documentation / script","","0",""
"docs/screenshots/dashboard.png","","2026-02-25T07:57:06Z","Project artifact / documentation / script","","0",""
"docs/screenshots/employees.png","","2026-02-25T07:57:17Z","Project artifact / documentation / script","","0",""
"docs/screenshots/kiosk.png","","2026-02-25T07:58:00Z","Project artifact / documentation / script","","0",""
"docs/screenshots/login.png","","2026-02-25T07:56:37Z","Project artifact / documentation / script","","0",""
"docs/screenshots/README.md","22","2026-02-25T06:08:22Z","Project artifact / documentation / script","","0",""
"docs/screenshots/register.png","","2026-02-25T07:57:28Z","Project artifact / documentation / script","","0",""
"docs/screenshots/reports.png","","2026-02-25T07:57:40Z","Project artifact / documentation / script","","0",""
"docs/screenshots/settings.png","","2026-02-25T07:57:52Z","Project artifact / documentation / script","","0",""
"docs/sentinel_demo.webp","","2026-02-25T07:58:09Z","Project artifact / documentation / script","","0",""
"FAQ.md","77","2026-02-25T06:07:33Z","Project artifact / documentation / script","","0",""
"flake8_report.txt","162","2026-02-24T13:08:02Z","Project artifact / documentation / script","","0",""
"frontend/admin.html","342","2026-02-25T05:20:06Z","Admin dashboard and maintenance actions","<link rel=""icon"" type=""image/png"" href=; <link rel=""preconnect"" href=; <link rel=""preconnect"" href=; <link rel=""stylesheet"" href=; <script src=; <script src=; <script src=","0",""
"frontend/css/main.css","980","2026-02-25T05:16:05Z","Shared styling for admin/kiosk pages","","0",""
"frontend/employees.html","179","2026-02-25T05:20:09Z","Employee management UI","<link rel=""icon"" type=""image/png"" href=; <link rel=""preconnect"" href=; <link rel=""preconnect"" href=; <link rel=""stylesheet"" href=; <script src=; <script src=; <script src=","0",""
"frontend/img/logo.png","","2026-02-14T13:30:25Z","Project artifact / documentation / script","","0",""
"frontend/index.html","574","2026-03-09T06:23:41Z","Public kiosk RFID scan interface","<link rel=""icon"" type=""image/png"" href=; <link rel=""preconnect"" href=; <link rel=""preconnect"" href=; <link rel=""stylesheet"" href=; <script src=","0",""
"frontend/js/auth.js","152","2026-03-09T06:23:30Z","Frontend auth/session helper","","0",""
"frontend/js/layout.js","102","2026-03-09T06:22:56Z","Shared layout/sidebar/header renderer","","0",""
"frontend/js/script.js","349","2026-02-24T11:38:13Z","Kiosk interaction logic","","0",""
"frontend/js/toast.js","101","2026-03-09T06:22:33Z","Toast notifications","","0",""
"frontend/login.html","319","2026-03-09T06:23:17Z","Admin login page","<link rel=""icon"" type=""image/png"" href=; <link rel=""preconnect"" href=; <link rel=""preconnect"" href=; <link href=; <link rel=""stylesheet"" href=; <script src=","0",""
"frontend/register.html","163","2026-03-09T06:22:41Z","Employee registration UI","<link rel=""icon"" type=""image/png"" href=; <link rel=""preconnect"" href=; <link rel=""preconnect"" href=; <link rel=""stylesheet"" href=; <script src=; <script src=; <script src=","0",""
"frontend/reports.html","530","2026-03-09T06:52:36Z","Reports and analytics UI","<link rel=""icon"" type=""image/png"" href=; <link rel=""preconnect"" href=; <link rel=""preconnect"" href=; <link rel=""stylesheet"" href=; <script src=; <script src=; <script src=","0",""
"frontend/settings.html","323","2026-03-09T06:23:08Z","Attendance rules/settings UI","<link rel=""icon"" type=""image/png"" href=; <link rel=""preconnect"" href=; <link rel=""preconnect"" href=; <link rel=""stylesheet"" href=; <script src=; <script src=; <script src=","0",""
"HARDWARE_SETUP_GUIDE.md","370","2026-02-21T11:23:36Z","Project artifact / documentation / script","","0",""
"INSTALLATION.md","198","2026-03-09T06:31:23Z","Installation guide","","0",""
"LICENSE","","2026-02-21T11:27:51Z","Project artifact / documentation / script","","4","CHANGELOG.md; FAQ.md; README.md; USER_GUIDE.md"
"migrations/env.py","65","2026-03-09T06:25:20Z","Alembic migration environment config","import asyncio; from logging.config import fileConfig; from sqlalchemy import pool; from sqlalchemy.engine import Connection; from sqlalchemy.ext.asyncio import async_engine_from_config; from alembic import context; import sys; from pathlib import Path; from app.core.config import settings; from app.db.base import Base; from app.models import absence_override, attendance_settings, employee, user  # noqa: F401","0",""
"migrations/script.py.mako","18","2026-02-12T14:26:53Z","Project artifact / documentation / script","","0",""
"migrations/versions/.keep","","2026-02-12T16:21:52Z","Project artifact / documentation / script","","0",""
"migrations/versions/20260309_0001_initial_schema.py","139","2026-03-09T06:26:05Z","Alembic migration revision","from __future__ import annotations; from alembic import op; import sqlalchemy as sa","0",""
"nginx/nginx.conf","79","2026-02-25T07:27:26Z","Nginx reverse proxy/static config","","0",""
"pytest.ini","5","2026-02-12T15:22:10Z","Project artifact / documentation / script","","0",""
"README.md","308","2026-03-09T07:22:49Z","Primary project documentation","","0",""
"requirements.txt","26","2026-03-09T06:25:06Z","Python runtime dependencies","","0",""
"ROADMAP.md","35","2026-02-25T06:08:08Z","Project artifact / documentation / script","","0",""
"run_app.bat","26","2026-03-09T06:26:17Z","Windows local startup script","","0",""
"run_docker.bat","37","2026-03-09T07:02:41Z","Windows Docker startup script","","0",""
"scripts/backup.sh","28","2026-02-21T11:15:03Z","Project artifact / documentation / script","","0",""
"scripts/monitor.sh","38","2026-02-21T11:15:05Z","Project artifact / documentation / script","","0",""
"SECURITY.md","70","2026-03-09T05:52:45Z","Project artifact / documentation / script","","0",""
"SUPPORT.md","35","2026-02-25T06:08:16Z","Project artifact / documentation / script","","0",""
"TESTING.md","156","2026-02-25T06:05:13Z","Project artifact / documentation / script","","0",""
"tests/conftest.py","81","2026-02-25T05:26:21Z","Automated tests","import asyncio; import os; import sys; from typing import AsyncGenerator; import pytest; from httpx import ASGITransport, AsyncClient; from sqlalchemy.ext.asyncio import AsyncSession, async_sessionmaker, create_async_engine; from sqlalchemy.pool import StaticPool; from app.api.v1.deps import get_db; from app.db.base import Base; from app.db.session import (  # noqa: F401 — retained for engine patching if needed; from app.main import app; from app.api.v1.deps import get_current_active_user, require_admin; from app.models.user import User","0",""
"tests/stress/api_annihilator.py","73","2026-02-25T05:26:14Z","Automated tests","import asyncio; import random; import string; import sys  # noqa: F401; import time; import httpx; import traceback","0",""
"tests/stress/db_obliterator.py","35","2026-02-25T05:06:01Z","Automated tests","import asyncio; import os; import sys; import random  # noqa: F401; import string  # noqa: F401; from sqlalchemy import text; from app.db.session import async_session_factory","0",""
"tests/test_breaks.py","42","2026-02-25T05:26:14Z","Automated tests","import pytest; from httpx import AsyncClient","0",""
"tests/test_employees.py","93","2026-02-25T05:26:14Z","Automated tests","import pytest; from httpx import AsyncClient","0",""
"tests/test_omega_fuzzer.py","63","2026-02-25T05:26:14Z","Automated tests","import asyncio  # noqa: F401; import random; import string; import pytest; from httpx import AsyncClient","0",""
"tests/test_reports.py","119","2026-03-09T06:29:59Z","Automated tests","from datetime import datetime, timezone; import pytest; from httpx import AsyncClient; from unittest.mock import patch; from app.core.config import settings","0",""
"tests/test_scan.py","91","2026-03-09T06:29:47Z","Automated tests","from datetime import datetime, timezone; import pytest; from httpx import AsyncClient; from sqlalchemy import select; from sqlalchemy.ext.asyncio import AsyncSession; from app.models.attendance_settings import AttendanceSettings; from app.models.employee import Attendance; from unittest.mock import patch; from app.core.config import settings; from app.api.v1.endpoints import employees as employees_endpoint","0",""
"tests/test_security_hardened.py","95","2026-02-25T05:26:14Z","Automated tests","import asyncio  # noqa: F401 — used by event_loop fixture; import pytest; from httpx import AsyncClient; from sqlalchemy.ext.asyncio import AsyncSession; from app.core.security import create_access_token; from app.main import app  # noqa: F401 — used by ASGITransport fixture; from app.models.employee import Employee; from app.models.user import User; from app.core.security import get_password_hash","0",""
"tests/test_settings_validation.py","43","2026-03-09T06:29:23Z","Automated tests","import pytest; from httpx import AsyncClient","0",""
"TROUBLESHOOTING.md","190","2026-03-09T06:31:35Z","Troubleshooting guide","","0",""
"USER_GUIDE.md","431","2026-02-12T17:44:07Z","Project artifact / documentation / script","","0",""
